City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,tatarani,45.0,25.2667,7.06,55,100,2.41,RO,2023-04-06
155,rio gallegos,-51.6226,-69.2181,4.03,70,0,2.06,AR,2023-04-06
156,jiangyou,31.7667,104.7167,17.67,43,96,4.18,CN,2023-04-06
157,abtenau,47.5637,13.346,6.65,51,7,1.23,AT,2023-04-06
158,thompson,55.7435,-97.8558,-9.91,62,75,3.6,CA,2023-04-06
159,suntar,62.1444,117.6319,-5.21,93,100,3.85,RU,2023-04-06
160,aracuai,-16.8497,-42.0703,19.06,95,13,1.11,BR,2023-04-06
161,arona,28.0996,-16.681,18.4,58,0,2.57,ES,2023-04-06
162,santa cruz cabralia,-16.2781,-39.0247,23.13,100,40,1.54,BR,2023-04-06
163,okhotsk,59.3833,143.3,-11.16,72,4,6.18,RU,2023-04-06
164,saskylakh,71.9167,114.0833,-18.27,94,100,3.16,RU,2023-04-06
165,bethel,41.3712,-73.414,9.32,88,100,2.06,US,2023-04-06
166,los llanos de aridane,28.6585,-17.9182,16.86,77,0,3.09,ES,2023-04-06
167,salalah,17.0151,54.0924,30.05,58,0,5.14,OM,2023-04-06
168,kita,13.0349,-9.4895,32.58,8,95,0.49,ML,2023-04-06
169,wundanyi,-3.4019,38.364,24.94,46,74,2.01,KE,2023-04-06
170,doha,25.2867,51.5333,30.17,43,0,3.09,QA,2023-04-06
171,bambous virieux,-20.3428,57.7575,30.14,66,40,4.63,MU,2023-04-06
172,rajgarh,28.6333,75.3833,33.08,17,4,5.34,IN,2023-04-06
173,puerto escondido,15.85,-97.0667,24.88,80,0,3.2,MX,2023-04-06
174,great falls,47.5002,-111.3008,-0.18,70,0,6.69,US,2023-04-06
175,dakar,14.6937,-17.4441,22.07,88,0,5.14,SN,2023-04-06
176,turukhansk,65.8167,87.9833,-15.58,79,80,9.85,RU,2023-04-06
177,souillac,-20.5167,57.5167,30.21,66,40,4.63,MU,2023-04-06
178,diapaga,12.0708,1.7889,33.85,36,69,3.87,BF,2023-04-06
179,tuy hoa,13.0833,109.3,29.69,68,49,6.39,VN,2023-04-06
180,port hawkesbury,45.6169,-61.3485,-2.23,95,100,2.06,CA,2023-04-06
181,qandala,11.472,49.8728,30.99,51,10,3.82,SO,2023-04-06
182,starogard gdanski,53.964,18.5264,4.92,100,100,3.23,PL,2023-04-06
183,iranshahr,27.2025,60.6848,31.19,14,20,0.0,IR,2023-04-06
184,spasskoye,44.6108,132.7969,3.21,94,100,2.17,RU,2023-04-06
185,nelson bay,-32.7167,152.15,21.11,84,89,1.79,AU,2023-04-06
186,cherskiy,68.75,161.3,-13.03,89,31,1.65,RU,2023-04-06
187,narsaq,60.9167,-46.05,-0.88,87,90,2.08,GL,2023-04-06
188,agropoli,40.3469,14.9966,12.15,50,6,0.98,IT,2023-04-06
189,belaya gora,68.5333,146.4167,-13.72,92,100,6.09,RU,2023-04-06
190,chuy,-33.6971,-53.4616,16.8,70,100,3.03,UY,2023-04-06
191,calama,-22.4667,-68.9333,9.27,76,0,4.63,CL,2023-04-06
192,sumter,28.7086,-82.0831,21.97,88,100,2.8,US,2023-04-06
193,elliot lake,46.3834,-82.6331,-2.96,86,79,6.23,CA,2023-04-06
194,lunavada,23.1333,73.6167,37.17,15,4,3.66,IN,2023-04-06
195,bonavista,48.6499,-53.1147,-4.71,82,8,8.12,CA,2023-04-06
196,concordia,-31.393,-58.0209,18.77,89,91,1.79,AR,2023-04-06
197,mokrousovo,55.8103,66.7653,13.72,59,62,6.04,RU,2023-04-06
198,marsa matruh,31.3525,27.2453,18.11,59,0,4.12,EG,2023-04-06
199,alugan,12.2188,125.4808,26.27,81,100,4.53,PH,2023-04-06
200,choix,26.7092,-108.3219,14.69,27,2,1.98,MX,2023-04-06
201,chokurdakh,70.6333,147.9167,-19.15,98,88,2.07,RU,2023-04-06
202,libertad,8.9442,125.5019,25.97,74,99,2.41,PH,2023-04-06
203,tura,25.5198,90.2201,32.35,17,0,4.18,IN,2023-04-06
204,hualmay,-11.0964,-77.6139,24.4,83,2,4.16,PE,2023-04-06
205,whitianga,-36.8333,175.7,14.72,93,100,6.0,NZ,2023-04-06
206,talcahuano,-36.7167,-73.1167,13.82,100,100,2.06,CL,2023-04-06
207,la paz,-16.5,-68.15,5.99,81,75,2.06,BO,2023-04-06
208,tingi,-11.3,35.0333,17.38,95,100,1.28,TZ,2023-04-06
209,ternate,0.8,127.4,27.2,78,80,4.24,ID,2023-04-06
210,waipawa,-41.4122,175.5153,12.03,93,100,5.18,NZ,2023-04-06
211,wald-michelbach,49.57,8.8317,10.77,52,45,2.67,DE,2023-04-06
212,oranjemund,-28.55,16.4333,23.64,53,42,2.99,NA,2023-04-06
213,meulaboh,4.1363,96.1285,28.57,71,87,3.41,ID,2023-04-06
214,porbandar,21.6422,69.6093,29.53,44,85,4.51,IN,2023-04-06
215,torbay,47.6666,-52.7314,-4.12,78,75,7.2,CA,2023-04-06
216,balkhash,46.844,74.9804,16.34,16,0,3.0,KZ,2023-04-06
217,kolyshley,52.7005,44.5367,16.04,39,100,5.06,RU,2023-04-06
218,progreso,21.2833,-89.6667,25.06,83,100,5.0,MX,2023-04-06
219,dale,38.1689,-86.99,10.25,76,100,4.12,US,2023-04-06
220,sri aman,1.2376,111.4621,26.03,94,20,1.54,MY,2023-04-06
221,marsh harbour,26.5412,-77.0636,24.0,77,1,6.97,BS,2023-04-06
222,talnakh,69.4865,88.3972,-28.22,93,38,7.18,RU,2023-04-06
223,kurchum,48.5722,83.6542,13.1,24,0,6.88,KZ,2023-04-06
224,buraydah,26.326,43.975,30.25,15,95,6.21,SA,2023-04-06
225,neiafu,-18.65,-173.9833,27.46,81,17,6.03,TO,2023-04-06
226,sipoo,60.3775,25.2691,4.96,81,75,5.14,FI,2023-04-06
227,dukat,62.55,155.55,-17.6,100,84,1.5,RU,2023-04-06
228,san patricio,28.017,-97.5169,16.92,84,100,6.26,US,2023-04-06
229,yamada,39.4667,141.95,13.36,84,100,3.92,JP,2023-04-06
230,grand forks,47.9417,-97.4337,-6.15,79,100,6.69,US,2023-04-06
231,orizari,41.9228,22.4469,7.67,51,17,2.27,MK,2023-04-06
232,hami,42.8,93.45,13.27,11,0,2.68,CN,2023-04-06
233,mandalgovi,45.7625,106.2708,-1.35,22,0,4.59,MN,2023-04-06
234,albina,5.5,-54.05,21.14,82,74,0.82,SR,2023-04-06
235,grand-lahou,5.1367,-5.0242,28.96,71,38,2.48,CI,2023-04-06
236,sari,36.5633,53.0601,19.77,68,20,5.14,IR,2023-04-06
237,timbiqui,2.7717,-77.6654,23.15,94,100,1.91,CO,2023-04-06
238,khani,41.9563,42.9566,7.76,75,96,1.59,GE,2023-04-06
239,khatanga,71.9667,102.5,-22.56,86,100,3.62,RU,2023-04-06
240,celestun,20.8667,-90.4,24.82,82,79,7.18,MX,2023-04-06
241,krasnokamensk,50.0979,118.0369,-2.8,42,100,10.72,RU,2023-04-06
242,key west,24.5557,-81.7826,26.67,75,40,8.75,US,2023-04-06
